candidate_id,rank,score,reasoning
CAND_0000031,1,50.0,"6.0 years of experience matches target range. Strong skills in machine learning, embeddings, faiss"
CAND_0000388,2,50.0,"6.0 years of experience matches target range. Strong skills in embeddings, rag, faiss"
CAND_0000032,3,40.0,"8.1 years of experience matches target range. Strong skills in python, embeddings"
CAND_0000082,4,40.0,"7.4 years of experience matches target range. Strong skills in embeddings, faiss"
CAND_0000083,5,40.0,"6.7 years of experience matches target range. Strong skills in rag, faiss"
CAND_0000097,6,40.0,"5.8 years of experience matches target range. Strong skills in rag, faiss"
CAND_0000120,7,40.0,"5.7 years of experience matches target range. Strong skills in embeddings, rag"
CAND_0000389,8,40.0,"5.4 years of experience matches target range. Strong skills in embeddings, faiss"
CAND_0000014,9,30.0,8.4 years of experience matches target range. Strong skills in faiss
CAND_0000044,10,30.0,5.7 years of experience matches target range. Strong skills in python
CAND_0000074,11,30.0,"Strong skills in embeddings, rag, faiss"
CAND_0000075,12,30.0,5.2 years of experience matches target range. Strong skills in machine learning
CAND_0000117,13,30.0,7.9 years of experience matches target range. Strong skills in python
CAND_0000127,14,30.0,6.7 years of experience matches target range. Strong skills in python
CAND_0000187,15,30.0,6.6 years of experience matches target range. Strong skills in embeddings
CAND_0000211,16,30.0,5.0 years of experience matches target range. Strong skills in faiss
CAND_0000212,17,30.0,"Strong skills in embeddings, rag, faiss"
CAND_0000225,18,30.0,5.0 years of experience matches target range. Strong skills in faiss
CAND_0000243,19,30.0,5.7 years of experience matches target range. Strong skills in faiss
CAND_0000313,20,30.0,7.0 years of experience matches target range. Strong skills in rag
CAND_0000343,21,30.0,6.4 years of experience matches target range. Strong skills in machine learning
CAND_0000390,22,30.0,6.6 years of experience matches target range. Strong skills in python
CAND_0000399,23,30.0,"Strong skills in embeddings, rag, faiss"
CAND_0000410,24,30.0,"Strong skills in embeddings, rag, faiss"
CAND_0000422,25,30.0,6.3 years of experience matches target range. Strong skills in python
CAND_0000426,26,30.0,5.9 years of experience matches target range. Strong skills in faiss
CAND_0000440,27,30.0,7.5 years of experience matches target range. Strong skills in rag
CAND_0000454,28,30.0,5.8 years of experience matches target range. Strong skills in python
CAND_0000001,29,20.0,6.9 years of experience matches target range
CAND_0000006,30,20.0,6.0 years of experience matches target range
CAND_0000007,31,20.0,5.5 years of experience matches target range
CAND_0000015,32,20.0,5.4 years of experience matches target range
CAND_0000016,33,20.0,5.3 years of experience matches target range
CAND_0000018,34,20.0,6.6 years of experience matches target range
CAND_0000019,35,20.0,6.5 years of experience matches target range
